keystrokes_per_sec,clicks_per_sec,app_switches,app_entropy,idle_time_ratio,productive_app_ratio,distraction_app_ratio,keystroke_burst_score,click_burst_score,app_switch_frequency,keystroke_variance,click_variance,keystroke_click_ratio,idle_transitions,app_focus_duration,context_switch_cost,label
0.23333333333333334,0.1,3.0,0.0,0.36000000000000004,0.0,0.21428571428571427,0.43152928595253304,0.01707867372898805,0.1,0.7563921307471003,0.09245254532972069,0.7,1.0,21.450212001800537,0.21428571428571427,0
0.23333333333333334,0.1,4.0,0.0,0.36000000000000004,0.0,0.2,0.43152928595253304,0.01707867372898805,0.13333333333333333,0.7563921307471003,0.09245254532972069,0.7,1.0,22.03058624267578,0.26666666666666666,0
0.23333333333333334,0.1,4.0,0.0,0.36000000000000004,0.0,0.2,0.43152928595253304,0.01707867372898805,0.13333333333333333,0.7563921307471003,0.09245254532972069,0.7,1.0,22.03058624267578,0.26666666666666666,0
0.23333333333333334,0.13333333333333333,4.0,0.0,0.0,0.0,0.2,0.43152928595253304,0.026972996560904575,0.13333333333333333,0.7563921307471003,0.2466319574775121,0.6363636363636364,0.0,27.617650985717773,0.26666666666666666,1
0.23333333333333334,0.1,3.0,0.0,0.36333333333333334,0.0,0.14285714285714285,0.43152928595253304,0.0330349035503668,0.1,0.7563921307471003,0.3699479319411694,0.7,1.0,29.272706747055054,0.21428571428571427,1
0.0,0.06666666666666667,2.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,2.0,29.950174570083618,0.3333333333333333,1
0.0,0.06666666666666667,2.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,2.0,29.950174570083618,0.3333333333333333,1
0.0,0.13333333333333333,2.0,0.0,0.36333333333333334,0.0,0.42857142857142855,0.0,0.406128389420785,0.06666666666666667,0.0,46.33743459844317,0.0,1.0,25.14165735244751,0.2857142857142857,1
0.0,0.13333333333333333,3.0,0.0,0.36333333333333334,0.0,0.375,0.0,0.406128389420785,0.1,0.0,46.33743459844317,0.0,1.0,25.432891368865967,0.375,1
0.0,0.16666666666666666,3.0,0.0,0.36333333333333334,0.0,0.4444444444444444,0.0,0.4281731613999609,0.1,0.0,38.55433213307357,0.0,1.0,29.003282070159912,0.3333333333333333,1
0.0,0.16666666666666666,4.0,0.0,0.36333333333333334,0.0,0.4,0.0,0.4176985891350294,0.13333333333333333,0.0,37.5761423243093,0.0,1.0,29.351012229919434,0.4,1
0.2,0.26666666666666666,3.0,0.0,0.7233333333333333,0.5263157894736842,0.3684210526315789,0.40585566510209004,0.6112000039887513,0.1,0.8884744585935778,13.554896603533255,0.42857142857142855,2.0,23.116246223449707,0.15789473684210525,0
0.2,0.26666666666666666,4.0,0.0,0.7233333333333333,0.5,0.35,0.40585566510209004,0.6112000039887513,0.13333333333333333,0.8884744585935778,13.554896603533255,0.42857142857142855,2.0,24.02625060081482,0.2,0
0.0,0.03333333333333333,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.313357830047607,0.0,1
0.0,0.3333333333333333,6.0,1.8726696380501495,0.3466666666666667,0.35294117647058826,0.17647058823529413,0.0,0.613818365374826,0.2,0.0,14.620707011671783,0.0,1.0,11.756430566310883,0.35294117647058826,1
0.0,0.3333333333333333,6.0,1.8726696380501495,0.3466666666666667,0.35294117647058826,0.17647058823529413,0.0,0.613818365374826,0.2,0.0,14.620707011671783,0.0,1.0,11.756430566310883,0.35294117647058826,1
0.0,0.3333333333333333,6.0,1.8726696380501495,0.3466666666666667,0.35294117647058826,0.17647058823529413,0.0,0.613818365374826,0.2,0.0,14.620707011671783,0.0,1.0,11.756430566310883,0.35294117647058826,1
0.5333333333333333,0.1,1.0,0.2761954276479391,0.33666666666666667,0.9523809523809523,0.0,1.0,0.38405761030262875,0.03333333333333333,0.9270248375914114,57.65982134522716,0.8421052631578947,1.0,22.943516492843628,0.047619047619047616,0
2.3333333333333335,0.13333333333333333,1.0,0.17738945318599736,0.0,0.9733333333333334,0.0,0.5602219735990317,0.22824915633808396,0.03333333333333333,0.11339557891136749,2.2122979786363937,0.9459459459459459,0.0,14.41792094707489,0.013333333333333334,0
1.9,0.03333333333333333,0.0,0.0,0.33999999999999997,1.0,0.0,0.4884596484420385,0.0,0.0,0.08483301645684063,0.0,0.9827586206896551,1.0,29.236433267593384,0.0,0
1.9,0.03333333333333333,1.0,0.1222915970693747,0.33999999999999997,0.9833333333333333,0.0,0.4884596484420385,0.0,0.03333333333333333,0.08483301645684063,0.0,0.9827586206896551,1.0,29.236433267593384,0.016666666666666666,0
0.3333333333333333,0.13333333333333333,1.0,0.5032583347756457,1.0,0.8888888888888888,0.0,0.8985118247650765,0.5699572634124139,0.03333333333333333,0.02103132483912557,121.2859512142337,0.7142857142857143,3.0,14.220858097076416,0.05555555555555555,0
0.3333333333333333,0.13333333333333333,1.0,0.5225593745369408,1.0,0.8823529411764706,0.0,0.8985118247650765,0.1650462754572824,0.03333333333333333,0.02103132483912557,0.4067794178198483,0.7142857142857143,2.0,9.696486949920654,0.058823529411764705,0
0.0,0.23333333333333334,5.0,0.0,0.3433333333333334,0.0,0.38461538461538464,0.0,0.5310929221691147,0.16666666666666666,0.0,27.306333576486526,0.0,1.0,29.51769471168518,0.38461538461538464,1
0.0,0.2,6.0,0.0,0.3433333333333334,0.0,0.38461538461538464,0.0,0.5375080011072961,0.2,0.0,32.0476065284303,0.0,1.0,28.64842653274536,0.46153846153846156,1
